Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,Extended Referer,SessionID,User Agent,Extended User Agent,IP Address,Longitude,Latitude,Country,City,Region,Postal,Astronomy/astrophysics:Would you like to contribute to or participate in a mini-symposium on:,Geophysics:Would you like to contribute to or participate in a mini-symposium on:,"Meteorology, climatology and atmospheric science:Would you like to contribute to or participate in a mini-symposium on:",Bio-informatics:Would you like to contribute to or participate in a mini-symposium on:,Other (please specify):Would you like to contribute to or participate in a mini-symposium on:,Gaming:Would you like to contribute to or participate in a mini-symposium on:,Aerospace:Would you like to contribute to or participate in a mini-symposium on:,Genomics:Would you like to contribute to or participate in a mini-symposium on:,Renewable Energy:Would you like to contribute to or participate in a mini-symposium on:,Medical Imaging:Would you like to contribute to or participate in a mini-symposium on:,Computer vision:Would you like to contribute to or participate in a mini-symposium on:,Other (please specify):Would you like to contribute to or participate in a mini-symposium on:,Would you like to contribute to or participate in a mini-symposium on:: Comments
11,1/9/13 21:05,1/9/13 21:06,Complete,,,,English,,,1357783543_50ee21f734f3b9.50768288,"Mozilla/5.0 (Linux; Android 4.2.1; Nexus 7 Build/JOP40D) AppleWebKit/535.19 (KHTML, like Gecko) Chro","Mozilla/5.0 (Linux; Android 4.2.1; Nexus 7 Build/JOP40D) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166  Safari/535.19",174.67.217.35,-117.809502,33.637798,United States,Irvine,CA,92612,,,,Bio-informatics,,,,,,Medical Imaging,Computer vision,,
12,1/9/13 22:18,1/9/13 22:21,Complete,,,,English,,,1357787938_50ee332299d022.54853357,Mozilla/5.0 (Windows NT 6.1; rv:10.0) Gecko/20100101 Firefox/10.0,Mozilla/5.0 (Windows NT 6.1; rv:10.0) Gecko/20100101 Firefox/10.0,80.237.226.76,0,0,Anonymous Proxy,,,,,,,Bio-informatics,Other (please specify),,,Genomics,,,Computer vision,"Finance, Quant","Pandas, Quant and Finance"
13,1/9/13 20:40,1/9/13 23:00,Complete,,,,English,,,1357782026_50ee1c0ada2273.14600108,Mozilla/5.0 (X11; Linux x86_64; rv:17.0) Gecko/17.0 Firefox/17.0,Mozilla/5.0 (X11; Linux x86_64; rv:17.0) Gecko/17.0 Firefox/17.0,200.8.18.213,-71.144997,8.5983,Venezuela,M̩rida,14,,,,,,Other (please specify),Gaming,,,,,,Geospatial analysis,
14,1/9/13 23:24,1/9/13 23:25,Complete,,,,English,,,1357791897_50ee4299eb0394.35671204,"Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Versi","Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A523 Safari/8536.25",71.61.181.39,-79.979401,40.445599,United States,Pittsburgh,PA,15201,,,,,Other (please specify),,,,,,,Molecular simulation,
15,1/10/13 1:40,1/10/13 1:40,Complete,,,,English,,,1357800038_50ee62662306a5.32055922,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.11 (KHTML, like Gecko) Ubuntu/12.04 Chromium/20.0.11","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.11 (KHTML, like Gecko) Ubuntu/12.04 Chromium/20.0.1132.47 Chrome/20.0.1132.47 Safari/536.11",78.232.247.41,2.2833,48.783298,France,Fontenay-aux-roses,A8,,,,,,,,,,,Medical Imaging,Computer vision,,
16,1/10/13 11:32,1/10/13 11:33,Complete,,,,English,,,1357835550_50eeed1e240338.75151740,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko) Ubuntu/12.10 Chromium/22.0.122","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko) Ubuntu/12.10 Chromium/22.0.1229.94 Chrome/22.0.1229.94 Safari/537.4",207.171.18.44,-118.3993,34.029099,United States,Los Angeles,CA,90034,,,,,,Gaming,,,,,,,
17,1/10/13 12:21,1/10/13 12:22,Complete,,,,English,,,1357838518_50eef8b6a801a9.11355928,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.12","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11",161.55.6.9,-122.332603,47.5951,United States,Seattle,WA,98101,,,"Meteorology, climatology and atmospheric science",,Other (please specify),,,,,,,Oceanography,Or we could do meterology/oceanography -- there is a lot of overlap in tools and techniques
18,1/10/13 14:56,1/10/13 14:57,Complete,,,,English,,,1357847815_50ef1d07485e49.96161695,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.162 Safari/5","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.162 Safari/535.19",128.100.3.78,-79.416702,43.666698,Canada,Toronto,ON,m5s1c1,,,,,Other (please specify),,,,,,Computer vision,"Faster Code via numba, etc.",
19,1/12/13 5:07,1/12/13 5:09,Complete,,,,English,,,1357985269_50f135f5d14f50.03297036,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0,74.61.91.195,-98.672798,29.4655,United States,San Antonio,TX,78251,,,"Meteorology, climatology and atmospheric science",,,,,,,,,,
20,1/13/13 9:41,1/13/13 9:42,Complete,,,,English,,,1358088108_50f2c7ac6c8f14.79238081,Mozilla/5.0 (Windows NT 6.1; rv:18.0) Gecko/20100101 Firefox/18.0,Mozilla/5.0 (Windows NT 6.1; rv:18.0) Gecko/20100101 Firefox/18.0,98.228.67.185,-88.112701,41.723999,United States,Naperville,IL,60565,,,"Meteorology, climatology and atmospheric science",,,,,,,,,,
21,1/15/13 0:24,1/15/13 0:25,Complete,,,,English,,,1358227489_50f4e821818410.51075106,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1,67.161.8.200,-122.0196,37.384201,United States,Sunnyvale,CA,94085,,,,Bio-informatics,Other (please specify),Gaming,,Genomics,Renewable Energy,Medical Imaging,Computer vision,Big Data HDF5,
22,1/18/13 9:40,1/18/13 9:46,Complete,,,,English,,,1358520033_50f95ee1916268.32048752,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safar","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17",140.142.105.111,-122.332603,47.5951,United States,Seattle,WA,98101,,,,,,,,,,,,,
23,1/22/13 17:04,1/22/13 17:06,Complete,,,,English,http://plus.url.google.com/url?sa=z&n=1358892256110&url=http%3A%2F%2Fwww.surveygizmo.com%2Fs3%2F1114,http://plus.url.google.com/url?sa=z&n=1358892256110&url=http%3A%2F%2Fwww.surveygizmo.com%2Fs3%2F1114631%2FSciPy-2013-Themes&usg=7mkx-wolaAhwGF-GFK7Mg0Luicg.,1358892256_50ff0ce061f777.82853512,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4",128.135.100.106,-87.602699,41.780399,United States,Chicago,IL,60637,Astronomy/astrophysics,,,,Other (please specify),,,,Renewable Energy,,,"packaging, reproducibility",
24,1/22/13 18:41,1/22/13 18:42,Complete,,,,English,http://plus.url.google.com/url?sa=z&n=1358898083809&url=http%3A%2F%2Fwww.surveygizmo.com%2Fs3%2F1114,http://plus.url.google.com/url?sa=z&n=1358898083809&url=http%3A%2F%2Fwww.surveygizmo.com%2Fs3%2F1114631%2FSciPy-2013-Themes&usg=x9XllfsCaJ72ItstjW1q2QdPQ3c.,1358898094_50ff23ae1e4204.43178844,Mozilla/5.0 (X11; Linux x86_64; rv:10.0.11) Gecko/20100101 Firefox/10.0.11,Mozilla/5.0 (X11; Linux x86_64; rv:10.0.11) Gecko/20100101 Firefox/10.0.11,66.194.253.20,-73.858299,42.842999,United States,Rexford,NY,12148,,,,,Other (please specify),,,,,Medical Imaging,Computer vision,Reproducible Science,
25,1/22/13 19:41,1/22/13 19:42,Complete,,,,English,,,1358901701_50ff31c504bb19.03103988,"Mozilla/5.0 (iPhone3,1; iPhone; U; CPU OS 6_0_1 like Mac OS X; en_US) com.google.GooglePlus/13196 (K","Mozilla/5.0 (iPhone3,1; iPhone; U; CPU OS 6_0_1 like Mac OS X; en_US) com.google.GooglePlus/13196 (KHTML, like Gecko) Mobile/N90AP (gzip)",74.76.211.84,-73.5951,42.7495,United States,Troy,NY,12180,,,,,,Gaming,,,,,Computer vision,,
26,1/22/13 18:31,1/22/13 20:34,Complete,,,,English,http://plus.url.google.com/url?sa=z&n=1358897481385&url=http%3A%2F%2Fwww.surveygizmo.com%2Fs3%2F1114,http://plus.url.google.com/url?sa=z&n=1358897481385&url=http%3A%2F%2Fwww.surveygizmo.com%2Fs3%2F1114631%2FSciPy-2013-Themes&usg=jm4cJQz-8DFYnO-ZGftS1N1Tzvs.,1358897482_50ff214aa26fc5.75197976,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Ubuntu Chromium/23.0.1271.97 ","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Ubuntu Chromium/23.0.1271.97 Chrome/23.0.1271.97 Safari/537.11",155.198.246.248,-0.1262,51.500198,United Kingdom,London,H9,,,,,,,,,,,,,,
27,1/23/13 4:12,1/23/13 4:14,Complete,,,,English,,,1358932344_50ffa978c0e940.58338416,Mozilla/5.0 (Windows NT 5.1; rv:18.0) Gecko/20100101 Firefox/18.0,Mozilla/5.0 (Windows NT 5.1; rv:18.0) Gecko/20100101 Firefox/18.0,217.22.96.139,-4,40,Spain,,,,,Geophysics,"Meteorology, climatology and atmospheric science",,,,Aerospace,,Renewable Energy,,Computer vision,,
28,1/23/13 7:16,1/23/13 7:18,Complete,,,,English,http://plus.url.google.com/url?sa=z&n=1358943358810&url=http%3A%2F%2Fwww.surveygizmo.com%2Fs3%2F1114,http://plus.url.google.com/url?sa=z&n=1358943358810&url=http%3A%2F%2Fwww.surveygizmo.com%2Fs3%2F1114631%2FSciPy-2013-Themes&usg=YN2I2LZwbyLRXYDRQAHtyxNfl8I.,1358943360_50ffd4802be5f0.73574436,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko) Ubuntu/12.10 Chromium/22.0.122","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko) Ubuntu/12.10 Chromium/22.0.1229.94 Chrome/22.0.1229.94 Safari/537.4",115.67.130.162,100.516701,13.75,Thailand,Bangkok,40,,,,,,,,,,,Medical Imaging,Computer vision,,
29,1/23/13 13:40,1/23/13 13:40,Complete,,,,English,http://plus.url.google.com/url?sa=z&n=1358966400767&url=http%3A%2F%2Fwww.surveygizmo.com%2Fs3%2F1114,http://plus.url.google.com/url?sa=z&n=1358966400767&url=http%3A%2F%2Fwww.surveygizmo.com%2Fs3%2F1114631%2FSciPy-2013-Themes&usg=kkmCV6Aq0rv5vQ_C4VXjSrqdPqY.,1358966401_51002e81376fe6.58945726,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.36 Safari/53","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.36 Safari/537.22",152.3.159.77,-78.901901,35.995399,United States,Durham,NC,27701,,,,,,,,,,Medical Imaging,,,
30,1/23/13 15:17,1/23/13 15:18,Complete,,,,English,,,1358972266_5100456a586d24.60395083,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:18.0) Gecko/20100101 Firefox/18.0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:18.0) Gecko/20100101 Firefox/18.0,130.167.236.3,-76.596703,39.3288,United States,Baltimore,MD,21218,Astronomy/astrophysics,,,,,,,,,,,,
31,1/23/13 15:18,1/23/13 15:19,Complete,,,,English,,,1358972333_510045ad8ba1f7.61705376,Mozilla/5.0 (X11; Linux x86_64; rv:16.0) Gecko/20100101 Firefox/16.0,Mozilla/5.0 (X11; Linux x86_64; rv:16.0) Gecko/20100101 Firefox/16.0,132.183.13.82,-71.067703,42.342499,United States,Boston,MA,2101,,,,,Other (please specify),Gaming,,,,Medical Imaging,,neuroscience,
32,1/23/13 15:19,1/23/13 15:20,Complete,,,,English,,,1358972395_510045eb6b0803.65637652,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:19.0) Gecko/20100101 Firefox/19.0,88.6.31.217,-3.6833,40.400002,Spain,Madrid,29,,,Geophysics,"Meteorology, climatology and atmospheric science",,,,Aerospace,,Renewable Energy,,Computer vision,,
33,1/23/13 15:19,1/23/13 15:20,Complete,,,,English,,,1358972382_510045dee966b3.49586344,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:18.0) Gecko/20100101 Firefox/18.0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:18.0) Gecko/20100101 Firefox/18.0,24.227.217.186,-97.7696,30.303699,United States,Austin,TX,73301,,,,,,Gaming,,,,Medical Imaging,,,
34,1/23/13 15:27,1/23/13 15:28,Complete,,,,English,,,1358972828_5100479cb424b6.25207647,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.045,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MS-RTC LM 8),97.77.197.163,-97.7696,30.303699,United States,Austin,TX,73301,,,,,Other (please specify),,,,Renewable Energy,,,biological modeling for environmental engineering,
35,1/23/13 15:41,1/23/13 15:42,Complete,,,,English,,,1358973716_51004b144395c3.34964089,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.27 (KHTML, like Gecko) Chrome/26.0.13","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.27 (KHTML, like Gecko) Chrome/26.0.1386.0 Safari/537.27",129.15.159.197,-97.444504,35.208599,United States,Norman,OK,73019,,,"Meteorology, climatology and atmospheric science",,,,,,,,,,
36,1/23/13 16:04,1/23/13 16:06,Complete,,,,English,,,1358975075_51005063a96ce0.05124149,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.13","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17",131.215.194.207,-118.298698,33.786598,United States,Pasadena,CA,91125,Astronomy/astrophysics,,,,,,,,Renewable Energy,,,,
37,1/23/13 16:07,1/23/13 16:07,Complete,,,,English,,,1358975228_510050fc9d7255.16232525,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0,93.42.162.133,14.2167,42.466702,Italy,Pescara,1,,,Geophysics,,,,,,,,,,,
38,1/23/13 16:13,1/23/13 16:15,Complete,,,,English,,,1358975589_51005265567b96.33320297,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.13","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17",24.242.169.194,-98.514,29.471701,United States,San Antonio,TX,78201,,Geophysics,,,Other (please specify),,Aerospace,,,Medical Imaging,,Financial Modeling,
39,1/23/13 16:22,1/23/13 16:23,Complete,,,,English,,,1358976176_510054b0bef1d5.81492079,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR ,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3),130.20.107.45,-119.322197,46.328201,United States,Richland,WA,99354,,,"Meteorology, climatology and atmospheric science",Bio-informatics,,,,Genomics,,,,,
40,1/23/13 16:58,1/23/13 16:58,Complete,,,,English,,,1358978286_51005cee773f95.51572470,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/53","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",128.83.69.93,-97.7369,30.296101,United States,Austin,TX,78705,,Geophysics,,,Other (please specify),,,,,,,Tool development,
41,1/23/13 18:24,1/23/13 18:25,Complete,,,,English,,,1358983497_510071499e7003.32664093,"Mozilla/5.0 (Linux; U; Android 4.1.1; en-us; SGH-T999 Build/JRO03L) AppleWebKit/534.30 (KHTML, like ","Mozilla/5.0 (Linux; U; Android 4.1.1; en-us; SGH-T999 Build/JRO03L) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",93.152.133.86,23.3167,42.6833,Bulgaria,Sofia,42,,,,,Bio-informatics,,Gaming,,Genomics,,,,,
42,1/24/13 1:27,1/24/13 1:27,Complete,,,,English,,,1359008827_5100d43b942e22.07479541,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safar","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17",50.0.108.12,-122.219299,37.794998,United States,Oakland,CA,94601,,,,Bio-informatics,,,,,,,Computer vision,,
43,1/24/13 5:31,1/24/13 5:31,Complete,,,,English,,,1359023471_51010d6f00fe97.80667280,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/53","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17",129.241.180.231,10.4167,63.416698,Norway,Trondheim,16,,,,,Bio-informatics,,,,Genomics,,,,,
44,1/24/13 6:05,1/24/13 6:06,Complete,,,,English,,,1359025512_51011568832540.78360108,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1362.0 Safari/537","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1362.0 Safari/537.22 SUSE/25.0.1362.0",192.168.42.39,,,,,,,,,"Meteorology, climatology and atmospheric science",,Other (please specify),,,,,,,oceanography,
45,1/24/13 8:16,1/24/13 8:17,Complete,,,,English,,,1359033394_510134324475c3.58176111,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:18.0) Gecko/20100101 Firefox/18.0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:18.0) Gecko/20100101 Firefox/18.0,140.93.5.108,1.4333,43.599998,France,Toulouse,B3,,,,,,,,Aerospace,,Renewable Energy,,,,
46,1/24/13 8:38,1/24/13 8:43,Complete,,,,English,,,1359034710_510139567b8e26.97863853,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:18.0) Gecko/20100101 Firefox/18.0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:18.0) Gecko/20100101 Firefox/18.0,70.113.201.52,-97.7565,30.454901,United States,Austin,TX,78729,,,,Bio-informatics,,Gaming,,,Renewable Energy,Medical Imaging,,,
47,1/24/13 10:29,1/24/13 10:29,Complete,,,,English,,,1359041358_5101534e474194.86888855,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.13","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17",67.81.84.48,-73.6082,40.6539,United States,Baldwin,NY,11510,,,,,,,,,Renewable Energy,,,,
